Graph,Sequence,Moves,,,,,,,,,,,,,,,,,,,,Fitness
1,1,12,7,11,7,17,3,6,19,2,11,7,17,7,17,3,17,8,19,8,12,-8
1,2,10,18,10,19,11,8,19,10,18,3,11,3,14,9,14,16,14,20,2,20,-8
1,3,20,7,19,2,16,9,16,2,12,8,1,8,6,7,11,18,11,18,6,8,-8
1,4,11,8,6,18,3,14,16,2,3,6,7,6,3,14,20,6,7,20,2,19,-8
2,1,15,14,9,18,12,19,7,16,9,18,8,1,3,1,18,1,3,1,9,16,-10
2,2,11,18,9,8,1,12,18,1,3,11,19,11,6,11,9,18,8,18,11,20,-9
2,3,11,8,9,11,9,8,18,11,7,19,12,8,2,8,20,6,19,2,3,20,-9
2,4,1,9,1,8,12,18,12,7,6,11,3,11,18,7,2,3,14,9,1,12,-9
3,1,5,20,2,7,14,8,14,15,16,13,16,2,7,2,20,14,8,5,20,7,-16
3,2,5,20,14,2,8,14,20,2,16,13,16,13,16,15,16,3,19,3,18,10,-14
3,3,17,12,6,3,16,6,11,17,12,2,20,2,19,2,12,6,16,3,16,15,-9
3,4,7,20,7,20,6,14,19,14,19,6,16,3,18,1,2,7,19,3,18,9,-9
4,1,14,15,14,15,14,9,10,18,9,14,9,10,9,19,10,9,19,9,16,15,-10
4,2,6,12,20,2,6,19,9,14,2,17,3,17,3,14,3,17,7,2,16,15,-8
4,3,3,1,19,6,19,6,3,14,9,10,9,16,15,16,2,20,12,8,19,6,-8
4,4,17,6,7,1,12,20,8,20,1,7,6,19,9,16,2,14,15,16,15,16,-9
5,1,12,11,18,14,20,1,20,2,6,20,12,11,18,11,12,18,11,18,8,18,-12
5,2,6,3,14,18,11,18,11,19,11,19,2,6,18,12,18,14,18,7,14,7,-10
5,3,18,12,6,1,6,2,14,18,11,12,19,1,8,18,14,2,20,2,12,11,-10
5,4,20,6,20,6,3,2,3,14,9,17,3,11,9,11,7,14,18,3,1,3,-12
6,1,18,18,17,12,7,5,13,5,13,5,2,11,6,18,18,6,6,16,16,2,-13
6,2,1,6,9,5,13,5,2,8,19,3,17,3,11,3,15,16,6,18,11,16,-12
6,3,1,6,17,17,17,2,2,2,17,17,17,17,11,9,3,1,20,8,20,7,-22
6,4,10,8,10,8,20,3,20,15,2,18,2,16,16,11,8,7,18,8,2,2,-9
7,1,11,8,17,6,17,12,20,14,2,14,16,6,8,2,9,2,3,2,3,16,-9
7,2,14,15,14,18,1,12,11,18,8,7,18,2,9,2,18,7,18,6,2,1,-11
7,3,6,16,12,20,1,2,1,3,11,3,18,3,14,2,18,3,16,2,18,3,-13
7,4,18,1,18,14,2,6,18,2,1,11,12,11,6,3,20,1,20,14,3,1,-9
8,1,3,19,1,12,9,2,16,3,19,3,11,6,8,19,3,14,20,6,18,8,-11
8,2,16,3,19,10,11,17,12,7,9,19,12,18,6,11,6,11,17,2,16,9,-11
8,3,15,14,2,17,2,16,14,20,2,8,2,14,3,2,9,7,8,7,1,17,-10
8,4,10,19,10,11,7,9,2,17,11,9,19,12,1,20,6,20,2,18,11,7,-9
9,1,18,19,10,19,12,20,1,8,12,20,16,17,1,20,1,17,1,6,9,7,-12
9,2,17,9,19,9,7,16,15,19,3,17,2,18,17,11,18,7,20,3,11,9,-13
9,3,13,5,2,8,20,7,11,7,9,6,2,6,18,11,16,11,10,19,15,3,-16
9,4,18,10,8,12,19,6,19,7,16,11,7,2,6,9,8,2,5,2,16,2,-12
