Graph,Connect,Mutation,Nodes,Edges,Average Degree
1,0.05,0.001,17,42,4.59
2,0.05,0.005,18,60,5.89
3,0.05,0.01,18,80,8.11
4,0.1,0.001,18,60,5.67
5,0.1,0.005,18,67,6.44
6,0.1,0.01,19,98,8.74
7,0.15,0.001,17,65,6.59
8,0.15,0.005,17,74,7.65
9,0.15,0.01,19,79,7.26
